UTM campaign,UTM term,Landing page URL,Online store visitors,Pageviews,Sessions that reached checkout,Sessions that completed checkout,Sessions with cart additions,Average session duration,Online store visitors (previous_period),Pageviews (previous_period),Sessions that reached checkout (previous_period),Sessions that completed checkout (previous_period),Sessions with cart additions (previous_period),Average session duration (previous_period)
BOF | DPA,VC & ATC_14 Days - IG,https://vibewithmoi.in/products/iris-gold-diamond-and-sapphires-bracelet?variant=40433588240447&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_14+Days+-+IG&placement=Instagram_Feed&campaign_id=23856507181190312&ad_id=23856527722090312,2882,4936,1,0,5,,2697,4491,3,0,15,
BOF | DPA,VC & ATC_14 Days - IGi,https://vibewithmoi.in/products/ira-diamond-and-pearl-earrings?variant=39668305133631&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_14+Days+-+IGi&placement=Instagram_Feed&utm_id=120224750628680313_v2_s02_e283&campaign_id=120224750628680313&ad_id=120224751330050313,2370,4159,6,0,11,,1905,3502,3,0,9,
BOF | DPA,VC & ATC_180 Days - FBi,https://vibewithmoi.in/products/juliet-gold-diamond-and-ruby-engagement-ring?variant=39689752215615&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_180+Days+-+FBi&placement=Facebook_Mobile_Feed&campaign_id=120224750628680313&ad_id=120224913158110313&utm_id=120224750628680313_v2_s10_e7303,3103,5593,3,0,13,,2224,3916,4,0,14,
BOF | DPA,VC & ATC_180 Days - IGi,https://vibewithmoi.in/products/nizam-diamond-and-emerald-stud-earrings?variant=32852589674559&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_180+Days+-+IGi&placement=Instagram_Feed&utm_id=120224750628680313_v2_s09&campaign_id=120224750628680313&ad_id=120224910558280313,1247,2260,0,0,4,,1006,1773,3,0,7,
BOF | DPA,VC & ATC_60 Days - FB,https://vibewithmoi.in/products/tanjore-gold-diamond-emerald-pearl-and-colored-stones-bracelet?variant=40232184348735&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_60+Days+-+FB&placement=Facebook_Mobile_Feed&campaign_id=23856507113650312&ad_id=23856527722120312&utm_id=23856507113650312_v2_s66_e14_i20250919,1051,1931,0,0,1,,1105,2069,0,0,1,
BOF | DPA,VC & ATC_60 Days - IG,https://vibewithmoi.in/products/flower-of-life-gold-and-diamond-studs?variant=32852615462975&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_60+Days+-+IG&placement=Instagram_Feed&utm_id=23856507113650312_v2_s12_e7383&campaign_id=23856507113650312&ad_id=23856527643200312,2428,4229,1,0,3,,2007,3318,3,0,4,
BOF | DPA,VC & ATC_60 Days - IGi,https://vibewithmoi.in/products/robin-gold-diamond-ruby-and-south-sea-pearl-chandelier-earrings?variant=40968882847807&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_60+Days+-+IGi&placement=Instagram_Reels&utm_id=120224750628680313_v2_s65_e14_i20250920&campaign_id=120224750628680313&ad_id=120224751330060313,2307,4445,2,0,12,,1829,3196,2,0,5,
BOF%20|%20DPA,VC%20,https://vibewithmoi.in/products/paris-champagne-diamond-ring?variant=32852608090175&utm_source=facebook&utm_medium=paid&utm_campaign=BOF%2520%7C%2520DPA&utm_content=DPA&utm_term=VC%2520&%2520ATC_60%2520Days%2520-%2520IG&placement=Instagram_Feed&utm_id=23856507113650312_v2_s03_e283&fbclid=PAYW9leAMtFutleHRuA2FlbQEwAGFkaWQBqyFpAT6QyQGnPtobjpw_OBk4kq7y449BdSn5G_WoqEgqFrPgqLf_UQgNfzl0JzVAxQIOAr0_aem_PT1esV4t1JwDOAVcH6hFxA&campaign_id=23856507113650312&ad_id=23856527643200312,0,0,0,0,0,,2,8,0,0,0,50.5
BOF+%7C+DPA,VC+%26+ATC_1+Day+-+FB,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=BOF%2B%257C%2BDPA&utm_content=DPA&utm_term=VC%2B%2526%2BATC_1%2BDay%2B-%2BFB&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR7xdTOEVcLbAzP3rz7FHvvw61KuJQeU40IfYLqwAUp7UhJnEMmha0BaUQ0pww_aem_1Hv7r6Iet-pczupugUaBow,4,5,0,0,0,0.0,0,0,0,0,0,
BOF+%7C+DPA,VC+%26+ATC_1+Day+-+IG,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=BOF%2B%257C%2BDPA&utm_content=DPA&utm_term=VC%2B%2526%2BATC_1%2BDay%2B-%2BIG&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR6Mq2YoxrGyPf4u_Sa0J2AF5F9bt00_hQiwzfoT3E4Mbx0jr2NAlUWTiKR0ow_aem_hS8IGYZh6t9kS_0BO4QqFQ,4,4,0,0,0,0.0,0,0,0,0,0,
BOF+%7C+DPA,VC+%26+ATC_1+Day+-+IGi,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=BOF%2B%257C%2BDPA&utm_content=DPA&utm_term=VC%2B%2526%2BATC_1%2BDay%2B-%2BIGi&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR7nO3FU_GJPF6SeeIrDKCjEoNXqqHbGg6xLkaB1Yw9hobSaM8d-X2FS_eyWpg_aem_YHqGnzfswHP3iTjhQ6uTpg,0,0,0,0,0,,4,5,0,0,0,3.75
BOF+%7C+DPA,VC+%26+ATC_14+Days+-+FB,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=BOF%2B%257C%2BDPA&utm_content=DPA&utm_term=VC%2B%2526%2BATC_14%2BDays%2B-%2BFB&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR52WU0pDV_KMFAvXyOZCtcctMV0qP0tYzGWm79EyQx_O9eILInFEPauzTymwg_aem_PRIEmyclLXs5akilW_MZfg,4,6,0,0,0,3.25,0,0,0,0,0,
BOF+%7C+DPA,VC+%26+ATC_14+Days+-+IG,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=BOF%2B%257C%2BDPA&utm_content=DPA&utm_term=VC%2B%2526%2BATC_14%2BDays%2B-%2BIG&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR5fhjkYWP0kSgVkDna5YkqOQRwCL_8BuALebAlnf2Jlvt9BFEwDv0BS_xc8kw_aem_ADgPaqI8LI2LWgDZ3Xderw,4,6,0,0,0,0.0,0,0,0,0,0,
BOF+%7C+DPA,VC+%26+ATC_180+Days+-+FBi,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=BOF%2B%257C%2BDPA&utm_content=DPA&utm_term=VC%2B%2526%2BATC_180%2BDays%2B-%2BFBi&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR4cYetxZIA8dbfvpUV7p7DeYZxsUst4WSmkn-tcNJj1gP73E94eWydNbFU0dA_aem_GAdKiuEN4WfhHI0sGSCfJg,4,5,0,0,0,0.0,0,0,0,0,0,
BOF+%7C+DPA,VC+%26+ATC_180+Days+-+IGi,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=BOF%2B%257C%2BDPA&utm_content=DPA&utm_term=VC%2B%2526%2BATC_180%2BDays%2B-%2BIGi&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR7e-VvDutelnEJPWOVa6VYL7pMD9Kma-mUiI9DpX9lClEXyOwxJ3BhsYkxa1w_aem_VTl6N2U5BWJyXX4CmXvaTA,0,0,0,0,0,,4,4,0,0,0,0.0
BOF+%7C+DPA,VC+%26+ATC_60+Days+-+FB,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=BOF%2B%257C%2BDPA&utm_content=DPA&utm_term=VC%2B%2526%2BATC_60%2BDays%2B-%2BFB&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR7GJfchmZXTkZJc-u5u74hs_nIeFAKyDdT1ijMwovFZr1hCsMYqnGjl8jwkLg_aem_9GRp2FI3_CbCML-9I5jLUw,4,5,0,0,0,0.0,0,0,0,0,0,
BOF+%7C+DPA,VC+%26+ATC_60+Days+-+IG,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=BOF%2B%257C%2BDPA&utm_content=DPA&utm_term=VC%2B%2526%2BATC_60%2BDays%2B-%2BIG&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR49ewHA0k4sho5-yBcH180ycOuFN1AYy10_z2sCZrIsO8Oq46CImyme3xhFtw_aem_KwmVZjl9Zf5vZ6TycKChHg,0,0,0,0,0,,5,6,0,0,0,0.0
Living in Moi | Delhi,BRD - IG,https://vibewithmoi.in/?utm_source=ig&utm_medium=paid&utm_campaign=Living%20in%20Moi%20|%20Delhi&utm_content=IG%20Post%20-%203%20Apr%202025&utm_term=BRD%20-%20IG&placement=Instagram_Feed&utm_id=120213580184710313_v2_s10&fbclid=PAZXh0bgNhZW0BMABhZGlkAascoG9e-QkBp_lvzmN2Y4Z6ZjPgxpLjPJFPPPIEbeCBtA67LAnPKg6dKZT6CKyLBDK_HE0l_aem_KvNMriqmeRthdlAXG3vA7g&campaign_id=120213580184710313&ad_id=120220791925730313,0,0,0,0,0,,1,1,0,0,0,0.0
Living in Moi | Pune,LUXEi,https://vibewithmoi.in/products/qutub-multi-gemstones-gold-necklace-for-women?utm_source=ig&utm_medium=paid&utm_campaign=Living+in+Moi+%7C+Pune&utm_content=Qutub+necklace+%7C+SV&utm_term=LUXEi&placement=Instagram_Reels&utm_id=120211864027550313_v2_s04_e283&fbclid=PAZXh0bgNhZW0BMABhZGlkAasm4vMon7kBpyK572isl7Z8sVLGeGRQYrqXPLNvNH_H-Bk7FOBtrsfR7Ywf34IMwucjpriB_aem_US7mrS9vJPWGXMts_UruGQ&campaign_id=120211864027550313&ad_id=120232292242100313,9,12,0,0,0,,284,318,0,0,0,
Living in Moi | Pune,TRLi,https://vibewithmoi.in/products/ira-diamond-and-pearl-earrings?utm_source=facebook&utm_medium=paid&utm_campaign=Living+in+Moi+%7C+Pune&utm_content=Ira+earrings+%7C+SV&utm_term=TRLi&placement=Instagram_Reels&utm_id=120211864027550313_v2_s11_e7378&fbclid=PAZXh0bgNhZW0BMABhZGlkAasm4vJHGVkBp27fqs5IP2iL_lgUgjaDmtC3PugHvjboBhjReLB-GVXJGJnytMvj6AUIsE9a_aem_6qqEnFlS76GbsFlgfIsoMw&campaign_id=120211864027550313&ad_id=120232292524070313,41,45,0,0,0,,454,557,0,0,4,
Living+in+Moi+%7C+Pune,LUXEi,https://vibewithmoi.in/products/promise-gold-diamond-emerald-and-purple-amethyst-earrings?utm_source=fb&utm_medium=paid&utm_campaign=Living%2Bin%2BMoi%2B%257C%2BPune&utm_content=Promise%2Bearrings%2B%257C%2BSV&utm_term=LUXEi&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR6xwozOTnB3NQs3ORRK81GSSeerWz62vfcy5crYMWOSyB-PPcq19y_sib0SoQ_aem_82vvs0kehrL1niyEEQ0IxQ,0,0,0,0,0,,12,17,0,0,0,1.25
Living+in+Moi+%7C+Pune,TRLi,https://vibewithmoi.in/products/qutub-multi-gemstones-gold-necklace-for-women?utm_source=fb&utm_medium=paid&utm_campaign=Living%2Bin%2BMoi%2B%257C%2BPune&utm_content=Qutub%2Bnecklace%2B%257C%2BSV&utm_term=TRLi&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR7OcjeZNsjPNHyv1MGFAAYw02d0Evo_6DYhiLA8VS-50rTxaymzuMwr4iYDqw_aem_BbTIodfs5BdMiaP9Aazqow,0,0,0,0,0,,12,14,0,0,0,0.0
MOF,MOF | BLRi,https://vibewithmoi.in/products/juliet-gold-diamond-and-ruby-engagement-ring?utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=Juliet+Ring+%7C+SV&utm_term=MOF+%7C+BLRi&placement=Instagram_Feed&utm_id=120210400976700313_v2_s04_e283&campaign_id=120210400976700313&ad_id=120226545936870313,91,218,0,0,0,,115,343,0,0,1,
MOF,MOF | DABA | ENGD,https://vibewithmoi.in/products/virtue-gold-and-diamond-pendant-necklace?variant=41284408180799&utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=MOF%20|%20DABA%202&utm_term=MOF%20|%20DABA%20|%20ENGD&placement=Instagram_Reels&utm_id=120210400976700313_v2_s06&fbclid=PAZXh0bgNhZW0BMABhZGlkAasZn2Z1LtkBplgE_DwFQUEhNL5F3qIyXjApL7la2QbFWn4MEQIHFsZEHOuJ5ZidQRgr8A_aem_PzXLVUwv3eVJqvCfbqlB2w&campaign_id=120210400976700313&ad_id=120217708971410313,1,1,0,0,0,,2,4,0,0,0,
MOF,MOF | DABA | ENGDi,https://vibewithmoi.in/products/zeena-gold-silver-diamond-and-ruby-earrings?variant=41217912111167&utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=MOF+%7C+DABA+1&utm_term=MOF+%7C+DABA+%7C+ENGDi&placement=Instagram_Feed&utm_id=120210400976700313_v2_s01&campaign_id=120210400976700313&ad_id=120225067040130313,2676,5343,1,0,9,,1758,3424,2,1,7,
MOF,MOF | DABA | IGi,https://vibewithmoi.in/products/zeena-gold-silver-diamond-and-ruby-necklace?variant=41217893269567&utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=MOF+%7C+DABA+1&utm_term=MOF+%7C+DABA+%7C+IGi&placement=Instagram_Feed&utm_id=120210400976700313_v2_s03_e283&campaign_id=120210400976700313&ad_id=120225145554830313,827,2093,1,1,4,,784,1809,3,1,6,
MOF,MOF | DEL,https://vibewithmoi.in/products/red-mogul-intricate-traditional-silver-tassel-necklace?utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=RV+%7C+CC&utm_term=MOF+%7C+DEL&placement=Instagram_Feed&fbclid=PAZXh0bgNhZW0BMAABpi-0H_5STQfE1cW6rLB-p7_GMDzRz2UwWkkZhms2UdNpSaA3O63tXflAgw_aem_28OeMW5J1gq3uEv-ojFYOA&campaign_id=120210400976700313&ad_id=120211459679770313,0,0,0,0,0,,1,1,0,0,0,0.0
MOF,MOF | DELi,https://vibewithmoi.in/products/venice-gold-tanzanite-and-diamond-ring?utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=RV+%7C+CC&utm_term=MOF+%7C+DELi&placement=Instagram_Feed&utm_id=120210400976700313_v2_s03_e283&fbclid=PAZXh0bgNhZW0BMABhZGlkAashfyOYp9kBpxvzv_oqudWVMrLgGUvf2r8Nm20IcbRDFY_DvYhKBva9n2_XBQa44DK5hLab_aem__lg2ZuMeSFTyFFH1KSu0-A&campaign_id=120210400976700313&ad_id=120226546232950313,167,408,1,0,1,,138,418,0,0,2,
MOF,MOF | HYDi,https://vibewithmoi.in/products/memories-gold-and-diamond-photo-pendant-necklace?utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=RV+%7C+CC&utm_term=MOF+%7C+HYDi&placement=Instagram_Feed&utm_id=120210400976700313_v2_s03_e283&fbclid=PAZXh0bgNhZW0BMABhZGlkAashfyrjQ2kBpyWN7H-sW6hhAi1DV7cqFMZ2u5GC_-3eAiaz7lH4HE5hZ2KKgjyJS9APFxvq_aem_V1512vpz75qKlnt5ldnAtg&campaign_id=120210400976700313&ad_id=120226546232940313,49,99,0,0,0,,45,106,0,0,1,
MOF,MOF | MUMi,https://vibewithmoi.in/products/juliet-gold-diamond-and-ruby-engagement-ring?utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=Juliet+Ring+%7C+SV&utm_term=MOF+%7C+MUMi&placement=Instagram_Feed&utm_id=120210400976700313_v2_s09&campaign_id=120210400976700313&ad_id=120226545937010313,161,491,1,0,3,,210,540,0,0,2,
MOF,MOF+%7C+BLRi,https://vibewithmoi.in/products/juliet-gold-diamond-and-ruby-engagement-ring?utm_source=fb&utm_medium=paid&utm_campaign=MOF&utm_content=Juliet%2BRing%2B%257C%2BSV&utm_term=MOF%2B%257C%2BBLRi&placement=Facebook_Right_Column,6,7,0,0,0,0.6666666666666666,0,0,0,0,0,
MOF,MOF+%7C+DELi,https://vibewithmoi.in/products/juliet-gold-diamond-and-ruby-engagement-ring?utm_source=fb&utm_medium=paid&utm_campaign=MOF&utm_content=Juliet%2BRing%2B%257C%2BSV&utm_term=MOF%2B%257C%2BDELi&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR6oQdz1TQP49dG3aiDdR-ibOosWYka8tNzMXs4eskC2cJlkOIqTN2OdruP8Kg_aem_2v399Br36EepYft3lN3dhg,4,5,0,0,0,0.0,0,0,0,0,0,
MOF,MOF+%7C+MUMi,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=MOF&utm_content=RV%2B%257C%2BCC&utm_term=MOF%2B%257C%2BMUMi&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR4QfEaIsUcNyRtSSRcTvbSFjMFAVBJzsvC32Tlxhxp899l7WChfZU_7bVkiZQ_aem_f7UQmL-tAF69SYHhjFFlsw,8,11,0,0,0,1.75,0,0,0,0,0,
MOF | Engage,Ad Engage,https://vibewithmoi.in/products/red-mogul-intricate-traditional-silver-tassel-necklace?utm_source=fb&utm_medium=paid&utm_campaign=MOF+%7C+Engage&utm_content=Necklaces+%7C+CC&utm_term=Ad+Engage&placement=Facebook_Mobile_Feed&fbclid=IwAR0r4IigvSmYL9BAli4vef_fzsj-fDCpiwfYHJ5cVobFD5CylL3HK4YKv64_aem_AXTocTYtjgI2Nm-9vs6dzlgBjPIORbIytMIN9g-ZD10xtynK7Gjw2mEh2IEk0Xl1V33rF0MupYBKJCbBjRZxY_W8&campaign_id=23852283901930312&ad_id=23858618524760312,1,2,0,0,0,1.0,0,0,0,0,0,
MOF | Engage,Custom All,https://vibewithmoi.in/products/juliet-gold-diamond-and-ruby-engagement-ring?utm_source=ig&utm_medium=paid&utm_campaign=MOF+%7C+Engage&utm_content=Juliet+Ring+%7C+SV&utm_term=Custom+All&placement=Instagram_Feed&fbclid=PAAabfmPhPbw0cshmS6ImKUmiG-hZi3V3bn-NOfUTECRqSxTO3XH_shoYWAYU_aem_AST6gI8tQrbliABitXURa83E33QDD3O4dr5WNxBhPFujZBTbUzPQax5n0LwxirpjqFhYR_btAEM0vbvGACxi59Tb&campaign_id=23852272485200312&ad_id=23858618620060312,1,3,0,0,0,,1,1,0,0,0,
Moi - India - Instagram post: Engagement,7 Sep 2025 - a - Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=ig&utm_medium=paid&utm_campaign=Moi+-+India+-+Instagram+post%3A+Engagement&utm_content=7+Sep+2025&utm_term=7+Sep+2025+-+a+-+Reach&placement=Instagram_Feed&utm_id=23852426368070312_v2_s05_e7379_c1&fbclid=PAZXh0bgNhZW0BMABhZGlkAasnJLlylUkBp7iyH6GYYWSTV3qr6Ip6bEI9gKm64rbPQPHfgSzmyj3ZF5KHtqdkJtl08WNQ_aem_PAYGbxsSqLsLNo9ZSUv1Iw&campaign_id=23852426368070312&ad_id=120232853617320313,25,50,0,0,0,18.08,0,0,0,0,0,
Moi - India - Instagram post: Engagement,7 Sep 2025 - i - Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=ig&utm_medium=paid&utm_campaign=Moi+-+India+-+Instagram+post%3A+Engagement&utm_content=7+Sep+2025&utm_term=7+Sep+2025+-+i+-+Reach&placement=Instagram_Feed&utm_id=23852426368070312_v2_s03&fbclid=PAZXh0bgNhZW0BMABhZGlkAasnJLy0oOkBpxBrhK_2Q1L04p4h7R_swVTL8PJ5pNE4YDiNuhQ2b3eiG_tBq8ZZl9CNGQ2O_aem_vdNZX28E3TEVXpIbadUMyg&campaign_id=23852426368070312&ad_id=120232853617350313,81,162,0,0,0,25.567901234567902,0,0,0,0,0,
Moi - India - Instagram post: Engagement,9 Sep 2025 - a - Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=ig&utm_medium=paid&utm_campaign=Moi+-+India+-+Instagram+post%3A+Engagement&utm_content=9+Sep+2025&utm_term=9+Sep+2025+-+a+-+Reach&placement=Instagram_Feed&utm_id=23852426368070312_v2_s11_e7378&fbclid=PAZXh0bgNhZW0BMABhZGlkAasnJMHHJskBpyaeVGv_DmZ_mw2clMNTkFOhIAudtgzQu_hrdi81nWLBlvSPi94Jf5VVwEz9_aem_oSxWCtI5l-2aIqG1yuQ-BQ&campaign_id=23852426368070312&ad_id=120232853754270313,135,232,0,0,0,19.874074074074073,0,0,0,0,0,
